CHROM	POS	monovar	sccaller	bulk	monovar_sccaller	monovar_bulk	sccaller_bulk	monovar_sccaller_bulk
21	14898455	0	1	0	0	0	0	0
21	15660841	0	1	0	0	0	0	0
21	15882893	0	1	0	0	0	0	0
21	15889553	1	0	0	0	0	0	0
21	15918529	0	1	0	0	0	0	0
21	15918578	0	1	0	0	0	0	0
21	17199236	0	1	0	0	0	0	0
21	17242481	0	1	0	0	0	0	0
21	17962533	0	1	0	0	0	0	0
21	18814087	0	1	0	0	0	0	0
21	18890973	0	1	0	0	0	0	0
21	19638367	0	0	2	0	0	0	0
21	19666846	0	1	0	0	0	0	0
21	19715971	0	1	0	0	0	0	0
21	20230087	0	0	2	0	0	0	0
21	23526535	0	0	2	0	0	0	0
21	26958008	0	1	0	0	0	0	0
21	26958102	0	1	0	0	0	0	0
21	27056256	0	1	0	0	0	0	0
21	27087071	0	1	0	0	0	0	0
21	27090129	0	1	0	0	0	0	0
21	27264097	0	1	0	0	0	0	0
21	27423376	0	1	0	0	0	0	0
21	27484474	0	1	0	0	0	0	0
21	27512338	0	1	0	0	0	0	0
21	28213266	0	1	0	0	0	0	0
21	28213369	0	1	0	0	0	0	0
21	28296664	0	1	0	0	0	0	0
21	30274100	0	1	0	0	0	0	0
21	30274118	0	1	0	0	0	0	0
21	30307624	0	1	0	0	0	0	0
21	30331696	0	1	0	0	0	0	0
21	30331972	0	1	0	0	0	0	0
21	30332986	0	1	0	0	0	0	0
21	30338926	0	1	0	0	0	0	0
21	30378824	0	1	0	0	0	0	0
21	30432985	0	1	0	0	0	0	0
21	30434545	0	1	0	0	0	0	0
21	30438999	0	1	0	0	0	0	0
21	30458057	0	1	0	0	0	0	0
21	30521497	0	1	0	0	0	0	0
21	30532224	0	1	0	0	0	0	0
21	30693739	0	1	0	0	0	0	0
21	30693762	0	1	0	0	0	0	0
21	30723847	0	1	0	0	0	0	0
21	30961346	0	1	0	0	0	0	0
21	30968917	0	1	0	0	0	0	0
21	31002885	0	1	0	0	0	0	0
21	31023612	0	1	0	0	0	0	0
21	31027142	0	1	0	0	0	0	0
21	31654812	0	1	0	0	0	0	0
21	31661626	0	1	0	0	0	0	0
21	31859558	0	1	0	0	0	0	0
21	31859666	0	1	0	0	0	0	0
21	31874142	0	1	0	0	0	0	0
21	31914000	1	0	0	0	0	0	0
21	31993001	0	1	0	0	0	0	0
21	32253314	0	1	0	0	0	0	0
21	32433278	0	1	0	0	0	0	0
21	32493031	1	0	0	0	0	0	0
21	32493119	0	1	0	0	0	0	0
21	32497055	0	1	0	0	0	0	0
21	32525434	0	1	0	0	0	0	0
21	32554965	0	1	0	0	0	0	0
21	32559178	0	0	1	0	0	0	0
21	32585720	0	1	0	0	0	0	0
21	32585829	0	1	0	0	0	0	0
21	33000540	0	0	2	0	0	0	0
21	33040853	0	1	0	0	0	0	0
21	33057533	0	1	0	0	0	0	0
21	33074660	0	1	0	0	0	0	0
21	33355733	0	1	0	0	0	0	0
21	33371225	0	1	0	0	0	0	0
21	33671372	0	1	0	0	0	0	0
21	33686990	0	1	0	0	0	0	0
21	33697709	0	1	0	0	0	0	0
21	33758047	0	1	0	0	0	0	0
21	33867407	0	1	0	0	0	0	0
21	33887459	0	1	0	0	0	0	0
21	33887484	0	1	0	0	0	0	0
21	33887496	0	1	0	0	0	0	0
21	33954605	0	1	0	0	0	0	0
21	34018327	0	1	0	0	0	0	0
21	34123404	0	1	0	0	0	0	0
21	34123672	0	1	0	0	0	0	0
21	34160864	0	1	0	0	0	0	0
21	34166005	0	1	0	0	0	0	0
21	34166343	1	0	0	0	0	0	0
21	34166485	0	1	0	0	0	0	0
21	34258217	0	1	0	0	0	0	0
21	34652138	0	1	0	0	0	0	0
21	34716020	0	1	0	0	0	0	0
21	34721750	0	1	0	0	0	0	0
21	34721841	0	1	0	0	0	0	0
21	34726193	0	1	0	0	0	0	0
21	34726242	0	1	0	0	0	0	0
21	34860773	0	1	0	0	0	0	0
21	34861585	0	1	0	0	0	0	0
21	34877770	0	0	2	0	0	0	0
21	34900657	0	1	0	0	0	0	0
21	34901260	0	1	0	0	0	0	0
21	34903782	0	1	0	0	0	0	0
21	34907039	0	1	0	0	0	0	0
21	34941868	0	1	0	0	0	0	0
21	34950765	0	1	0	0	0	0	0
21	34974676	0	0	1	0	0	0	0
21	35138231	0	1	0	0	0	0	0
21	35138326	0	1	0	0	0	0	0
21	35189572	0	1	0	0	0	0	0
21	35189957	0	1	0	0	0	0	0
21	35229114	0	1	0	0	0	0	0
21	35255796	0	1	0	0	0	0	0
21	35276436	0	1	0	0	0	0	0
21	35279576	0	1	0	0	0	0	0
21	35469285	0	1	0	0	0	0	0
21	35514876	0	1	0	0	0	0	0
21	35821732	0	1	0	0	0	0	0
21	35890459	0	1	0	0	0	0	0
21	36088606	0	1	0	0	0	0	0
21	37412782	0	1	0	0	0	0	0
21	37418266	0	1	0	0	0	0	0
21	37418316	0	1	0	0	0	0	0
21	37422769	0	1	0	0	0	0	0
21	37422867	0	1	0	0	0	0	0
21	37423422	0	1	0	0	0	0	0
21	37443570	0	1	0	0	0	0	0
21	37571415	0	1	0	0	0	0	0
21	37586771	0	1	0	0	0	0	0
21	37591530	0	1	0	0	0	0	0
21	37595526	0	0	2	0	0	0	0
21	37597976	0	1	0	0	0	0	0
21	37609622	0	1	0	0	0	0	0
21	37650320	0	1	0	0	0	0	0
21	37650432	0	1	0	0	0	0	0
21	37652669	0	1	0	0	0	0	0
21	37661223	0	1	0	0	0	0	0
21	37736598	0	1	0	0	0	0	0
21	38139580	0	1	0	0	0	0	0
21	38467928	0	1	0	0	0	0	0
21	38533224	0	1	0	0	0	0	0
21	38555218	0	1	0	0	0	0	0
21	38559448	0	0	2	0	0	0	0
21	38561022	0	1	0	0	0	0	0
21	38597927	0	1	0	0	0	0	0
21	38604727	0	1	0	0	0	0	0
21	38612877	0	1	0	0	0	0	0
21	38997728	0	1	0	0	0	0	0
21	39671570	0	1	0	0	0	0	0
21	39775373	1	0	0	0	0	0	0
21	39817426	0	1	0	0	0	0	0
21	39818821	0	1	0	0	0	0	0
21	40250766	1	0	0	0	0	0	0
21	40559215	0	1	0	0	0	0	0
21	40568972	0	1	0	0	0	0	0
21	40582840	0	1	0	0	0	0	0
21	40587378	0	1	0	0	0	0	0
21	40590490	0	1	0	0	0	0	0
21	40590569	0	1	0	0	0	0	0
